Prefix,Prefix Length,Destination,Traffic Type,Operator,Exact Match Flag
97056,7,,Wataniya,Wataniya,N
97256,7,,Wataniya,Wataniya,N
56,3,,Wataniya,Wataniya,N
HUN,3,,VPN-Hunting,VPN-Hunting,N
DIV,3,,VPN-Diverting,VPN-Diverting,N
B1B,3,,Voice SMS_Settings,MOIP_Org,N
B2B,3,,Voice SMS_Settings,MOIP_Org,N
B059,4,,Voice SMS_Local,MOIP_Org,N
B5,2,,Voice SMS_Local,MOIP_Org,N
B7,2,,Voice SMS_Local,MOIP_Org,N
B8,2,,Voice SMS_Local,MOIP_Org,N
B9,2,,Voice SMS_Local,MOIP_Org,N
B00,3,,Voice SMS_International,MOIP_Org,N
59155000,9,,Unknown-T,New VoiceMail,N
155000,6,,VMS Originating VoiceMail 2,New VoiceMail,N
97059155000,11,,VMS Originating VoiceMail 2,New VoiceMail,N
97259155000,11,,VMS Originating VoiceMail 2,New VoiceMail,N
B134,4,,VMS Originating VoiceMail 2,VoiceMail Testing,N
B155,4,,VMS Originating VoiceMail 2,New VoiceMail,N
B151,4,,VMS Originating,VMS,N
B152,4,,VMS Originating,VMS,N
0591205,7,,Free,VMF,N
972591205,9,,Free,VMF-VMS Forwording,N
88216,7,,Thuraya,Thurayya,N
B2008,5,,Tawjihi,Tawjihi results,N
B2010,5,,Tawjihi,Tawjihi Result,N
B2011,5,,Tawjihi,Tawjihi Results 2011,N
B2012,5,,Tawjihi,Tawjihi Results 2012,N
140999,6,,SMS,SMS center,N
141999,6,,SMS,SMS center,N
6226,4,,RBT,Ring Back Tone-Test,N
1200,4,,Premium SMS,Unknown,N
1221,4,,Free,Unknown,N
1249,4,,Premium SMS,Unknown,N
1250,4,,Premium SMS,Unknown,N
1260,4,,Premium SMS,Unknown,N
1287,4,,Premium SMS,Unknown,N
2651,4,,Premium SMS,Unknown,N
37445,5,,Premium SMS,Unknown,N
37527,5,,Premium SMS,Unknown,N
37594,5,,Premium SMS,Unknown,N
37626,5,,Premium SMS,Unknown,N
37682,5,,Premium SMS,Unknown,N
37693,5,,Premium SMS,Unknown,N
37702,5,,Premium SMS,Unknown,N
37744,5,,Premium SMS,Unknown,N
37778,5,,Premium SMS,Unknown,N
37876,5,,Premium SMS,Unknown,N
37888,5,,Premium SMS,Unknown,N
37904,5,,Premium SMS,Unknown,N
37905,5,,Premium SMS,Unknown,N
37907,5,,Premium SMS,Unknown,N
37908,5,,Premium SMS,Unknown,N
37909,5,,Premium SMS,Unknown,N
37912,5,,Premium SMS,Unknown,N
37913,5,,Premium SMS,Unknown,N
37914,5,,Premium SMS,Unknown,N
37916,5,,Premium SMS,Unknown,N
37917,5,,Premium SMS,Unknown,N
37920,5,,Premium SMS,Unknown,N
37928,5,,Premium SMS,Unknown,N
37952,5,,Premium SMS,Unknown,N
37999,5,,Premium SMS,Unknown,N
37593,6,,Premium SMS,Al Lubnania TV,N
37805,6,,Premium SMS,Infinity TV- Adeem w jaded,N
1201,4,,Premium SMS,SMS 2 Jawwal E-MAIL,N
1202,4,,Premium SMS,Maan Breaking News,N
1203,4,,Premium SMS,Amer Khaled,N
1205,4,,Premium SMS,Aljazeera breaking,N
1206,4,,Premium SMS,SMS 2 PalNet E-MAIL,N
1207,4,,Premium SMS,SMS 2 E-MAIL Palestine on Line,N
1209,4,,Premium SMS,PNN,N
1212,4,,Free,SMS 2 Pal Internet,N
1213,4,,Free,Al Sadaqa Competition,N
1222,4,,Free,SMS 2 Jawwal E-Mail,N
1246,4,,Premium SMS,SMS 2 Mehwer,N
1247,4,,Premium SMS,SMS 2 ETV,N
1248,4,,Premium SMS,Radio Alwan,N
1261,4,,Premium SMS,SMS2Music Channel TV,N
1262,4,,Premium SMS,SMS to Musica TV,N
1267,4,,Premium SMS,Normina TV,N
1277,4,,Premium SMS,Topup Number,N
1285,4,,Premium SMS,Eqtisadiya TV,N
1289,4,,Premium SMS,Imara,N
1400,4,,Premium SMS,Maraseel,N
1930,4,,Premium SMS,Arab Bank,N
2011,4,,Premium SMS,Tawjihi Results,N
2012,4,,Premium SMS,Tawjehi Campaign,N
222,3,,Premium SMS,Unknown,N
37012,5,,Premium SMS,Quethara TV,N
37099,5,,Premium SMS,N Offer,N
37100,5,,Premium SMS,Dardish Service - Selected Number,N
37101,5,,Premium SMS,Romance Meter,N
37102,5,,Premium SMS,Abu-Mahjoob,N
37103,5,,Premium SMS,SMS TO WEB,N
37104,5,,Premium SMS,Radio Nawras,N
37105,5,,Premium SMS,Men and Women,N
37106,5,,Premium SMS,Youth,N
37107,5,,Premium SMS,SMS2TV-Pal-YalaNdar,N
37108,5,,Premium SMS,SMS 2 rdio- ISIS radio,N
37109,5,,Premium SMS,Khalil Radio,N
37110,5,,Premium SMS,Serach Engine - MTC,N
37111,5,,Premium SMS,Selected Numbers/ Kartak,N
37112,5,,Premium SMS,call center-Daleel Jawwal service,N
37113,5,,Premium SMS,SMS2radio-mawal radio-participations,N
37114,5,,Premium SMS,Love Pull services,N
37115,5,,Premium SMS,Spliting Kartak,N
37116,5,,Premium SMS,User generated Content,N
37117,5,,Premium SMS,Handicapped,N
37118,5,,Premium SMS,STK_CMB,N
37119,5,,Premium SMS,SMS advertisement,N
37120,5,,Premium SMS,STK_Hat w 5od,N
37121,5,,Premium SMS,STK_Dearest 2,N
37122,5,,Premium SMS,Selected Numbers / International,N
37123,5,,Premium SMS,ADC-Configuration,N
37124,5,,Premium SMS,GPRS for Prepaid,N
37126,5,,Premium SMS,Bulk Black List code,N
37127,5,,Premium SMS,Amwaj Radio,N
37128,5,,Premium SMS,SMS 2 Email,N
37129,5,,Premium SMS,Qasaba Cinema,N
37130,5,,Premium SMS,Kofeyah Group,N
37131,5,,Premium SMS,Josor,N
37132,5,,Premium SMS,Pull service-SMS messenger,N
37133,5,,Premium SMS,Qudwa SMS Competition,N
37134,5,,Premium SMS,SMS 2 Radio- Gaza Radio,N
37135,5,,Premium SMS,competition on STARS FM radio,N
37136,5,,Premium SMS,Mara7 TV,N
37137,5,,Premium SMS,QudsNewspaper BN,N
37138,5,,Premium SMS,3afaf wedding services,N
37139,5,,Premium SMS,SMS2Radio-AqsaRadio,N
37140,5,,Premium SMS,Al Watan VOice,N
37141,5,,Premium SMS,Currency Rates,N
37142,5,,Premium SMS,MCNTesting,N
37143,5,,Premium SMS,TDM,N
37144,5,,Premium SMS,Call Collect,N
37145,5,,Premium SMS,Selmy rates,N
37146,5,,Premium SMS,Ahalena service,N
37147,5,,Premium SMS,central TV,N
37148,5,,Premium SMS,SuperLink PSE,N
37149,5,,Premium SMS,WAWChat,N
37150,5,,Premium SMS,Euro 2008 Push,N
37151,5,,Premium SMS,RBT SMS,N
37152,5,,Premium SMS,Al- Arabiya,N
37153,5,,Premium SMS,BBC,N
37154,5,,Premium SMS,JMCC Bn,N
37155,5,,Premium SMS,Maan Competition,N
37156,5,,Premium SMS,Yoya Songs,N
37157,5,,Premium SMS,Yoya Games,N
37158,5,,Premium SMS,SamiYousef,N
37159,5,,Premium SMS,Quds Newspaper - Hadara,N
37160,5,,Premium SMS,Palprees,N
37161,5,,Premium SMS,Entertainment Channels,N
37162,5,,Premium SMS,Palpress,N
37163,5,,Premium SMS,Job offer - 3yoon al Ghad,N
37164,5,,Premium SMS,RBT,N
37165,5,,Premium SMS,Shehabe News,N
37166,5,,Premium SMS,MCB,N
37167,5,,Premium SMS,Ramatan Sport Breaking news,N
37168,5,,Premium SMS,Hadara Online Services,N
37169,5,,Premium SMS,SMS migration,N
37170,5,,Premium SMS,STK_Dearest Abroad,N
37171,5,,Premium SMS,Missed Call Keeper,N
37172,5,,Premium SMS,Tractors SMS notification,N
37173,5,,Premium SMS,Holy Quran Services,N
37174,5,,Premium SMS,Law Kan Bainana,N
37175,5,,Premium SMS,HADARA-PSE,N
37176,5,,Premium SMS,Mobis-PSE,N
37177,5,,Premium SMS,MIT entertainment,N
37178,5,,Premium SMS,Quds preaking news,N
37179,5,,Premium SMS,pointing system,N
37180,5,,Premium SMS,Ramdan services-Push cahnnels /HADARA,N
37181,5,,Premium SMS,STK_Dardish FAF,N
37182,5,,Premium SMS,know ur Package,N
37183,5,,Premium SMS,Ramdan services-Push cahnnels/MIT,N
37184,5,,Premium SMS,Maraseel,N
37185,5,,Premium SMS,Pal press CC,N
37186,5,,Premium SMS,Push service-Entertainment- Arabia cell,N
37187,5,,Premium SMS,luky baby campaign,N
37188,5,,Premium SMS,Paltel group SMS service,N
37189,5,,Premium SMS,SDP,N
37190,5,,Premium SMS,SMS Pull service-Emplyements info service,N
37191,5,,Premium SMS,SMS Pull service-Humintation Aid info service,N
37192,5,,Premium SMS,maan news,N
37193,5,,Premium SMS,Islamic Services,N
37194,5,,Premium SMS,Personality analysis,N
37195,5,,Premium SMS,Aljazeera News,N
37196,5,,Premium SMS,Takarub Islamic Services,N
37197,5,,Premium SMS,PNN News,N
37198,5,,Premium SMS,al i3jaz Al qur2ani,N
37199,5,,Premium SMS,MaanNet-MaanNewsCh,N
37200,5,,Premium SMS,Al Madeena Radio,N
37201,5,,Premium SMS,Al Horriyah Radio,N
37202,5,,Premium SMS,SMS Pull service- Marah TV,N
37203,5,,Premium SMS,SMS Pull service- Roo7 TV,N
37204,5,,Premium SMS,Jerzeem Radio,N
37205,5,,Premium SMS,Pull service-yellow pages,N
37206,5,,Premium SMS,Isystem Competition,N
37207,5,,Premium SMS,radio al kalij,N
37208,5,,Premium SMS,DAlil Al Zawaj TV,N
37209,5,,Premium SMS,WTV SMS2TV,N
37210,5,,Premium SMS,Bethlehem2000 Radio,N
37211,5,,Premium SMS,YoyaLand Chat,N
37212,5,,Premium SMS,Best buy,N
37213,5,,Premium SMS,Al Nas TV SMS2TV,N
37214,5,,Premium SMS,Pull services - Hafez TV- chat service,N
37215,5,,Premium SMS,Unknown,N
37216,5,,Premium SMS,SMS 2 TV Bader TV,N
37217,5,,Premium SMS,Al Saha wa Al Jamal TV,N
37218,5,,Premium SMS,Al Barakeh TV,N
37219,5,,Premium SMS,Al khalijiya,N
37220,5,,Premium SMS,RAYA FM,N
37221,5,,Premium SMS,Maan Group Service,N
37222,5,,Premium SMS,Funny,N
37223,5,,Premium SMS,Eman Radio,N
37224,5,,Premium SMS,Maan Group Service,N
37225,5,,Premium SMS,Al Tet,N
37226,5,,Premium SMS,Radio Future,N
37227,5,,Premium SMS,Radio Mara7,N
37228,5,,Premium SMS,Radio Lamasat Al-Sharq,N
37229,5,,Premium SMS,SMS 2 TV-Al Tejariah TV,N
37230,5,,Premium SMS,SMS2TV-RotanaTarapTV,N
37231,5,,Premium SMS,El MOLD,N
37232,5,,Premium SMS,SMS 2 TV -CTV Jenin,N
37233,5,,Premium SMS,Port Said,N
37234,5,,Premium SMS,Maan Group Service,N
37235,5,,Premium SMS,Sports,N
37236,5,,Premium SMS,Radio al-eradah,N
37237,5,,Premium SMS,Shabeyat,N
37238,5,,Premium SMS,Much TV,N
37239,5,,Premium SMS,PullSMS-AdFromUrNum,N
37240,5,,Premium SMS,SMS2TV- Mazika TV,N
37241,5,,Premium SMS,PullSMS-EntertServ,N
37242,5,,Premium SMS,PullSMS-HideWeKnow,N
37243,5,,Premium SMS,GAMA TV,N
37244,5,,Premium SMS,Sama Jirzim,N
37245,5,,Premium SMS,SMS 2TV- Tamima TV,N
37246,5,,Premium SMS,SMS 2TV- Alrai TV,N
37247,5,,Premium SMS,SMS 2 TV-Al fajerTV,N
37248,5,,Premium SMS,SMS 2 TV- Spicy TV,N
37249,5,,Premium SMS,SMS 2 Radio-Al furasan Radio,N
37250,5,,Premium SMS,SMS 2TV- Dream TV,N
37251,5,,Premium SMS,SMS 2TV- ToolkarmTV,N
37252,5,,Premium SMS,A7lam TV,N
37253,5,,Premium SMS,SMS 2 Oyoon website,N
37254,5,,Premium SMS,Lamest jamal TV- Jawwal,N
37255,5,,Premium SMS,Al dawa2eyeh TV- Jawwal,N
37256,5,,Premium SMS,escape TV,N
37257,5,,Premium SMS,SMS 2TV- NorminiaTV,N
37258,5,,Premium SMS,SMS2TV-Musica-ch,N
37259,5,,Premium SMS,SMS2 Mehwer TV,N
37260,5,,Premium SMS,SMS 2 TV-ETV,N
37261,5,,Premium SMS,SMS 2 TV- Nojoom TV,N
37262,5,,Premium SMS,Unknown,N
37263,5,,Premium SMS,Aghaneena TV,N
37264,5,,Premium SMS,Aman Radio,N
37265,5,,Premium SMS,Horriyah TV,N
37266,5,,Premium SMS,Maan Group Service,N
37267,5,,Premium SMS,Masraweya,N
37268,5,,Premium SMS,Al rasoul TV,N
37269,5,,Premium SMS,Borouze TV,N
37270,5,,Premium SMS,Unknown,N
37271,5,,Premium SMS,Mara7 TV,N
37272,5,,Premium SMS,AFM Masraweya,N
37273,5,,Premium SMS,ATC TV,N
37274,5,,Premium SMS,Recruitmint TV,N
37275,5,,Premium SMS,Massaya,N
37276,5,,Premium SMS,Al Ra7ma,N
37277,5,,Premium SMS,Al-Huda,N
37278,5,,Premium SMS,AlSa3a,N
37279,5,,Premium SMS,Saeda,N
37280,5,,Premium SMS,Nojoom TV1,N
37281,5,,Premium SMS,Nojoom TV2,N
37282,5,,Premium SMS,Nojoom TV3,N
37283,5,,Premium SMS,Nojoom TV4,N
37284,5,,Premium SMS,Sudanese TV,N
37285,5,,Premium SMS,OTV,N
37286,5,,Premium SMS,Al Deyaa,N
37287,5,,Premium SMS,Jaweb warba7,N
37288,5,,Premium SMS,Al Helal,N
37289,5,,Premium SMS,Shadw Al Jira7 - Aqsa TV,N
37290,5,,Premium SMS,radio Borouz,N
37291,5,,Premium SMS,sada TV,N
37292,5,,Premium SMS,Al uthmaniya TV,N
37293,5,,Premium SMS,Angham TV,N
37294,5,,Premium SMS,Radio Fawaseel,N
37295,5,,Premium SMS,Sawt Al ghad,N
37296,5,,Premium SMS,Modern TV,N
37297,5,,Premium SMS,Modern TV Sports,N
37298,5,,Premium SMS,SMS Pull service-Radio Kul Al nas,N
37299,5,,Premium SMS,SMS to HALA TV,N
3730,4,,Premium SMS,SMS 2 Bank of Palestine,N
37300,5,,Premium SMS,Fawasel TV,N
37301,5,,Premium SMS,Al-Sumariya TV,N
37302,5,,Premium SMS,Arabian Travel TV,N
37303,5,,Premium SMS,TXT TV,N
37304,5,,Premium SMS,HI TV,N
37305,5,,Premium SMS,Oyoun SMS2TV,N
37306,5,,Premium SMS,Al Nas TV,N
37307,5,,Premium SMS,radio AL Balad,N
37308,5,,Premium SMS,Sokar,N
37309,5,,Premium SMS,Al 3othamniya TV,N
37310,5,,Premium SMS,Fonon TV,N
37311,5,,Premium SMS,Baghdadiyah TV,N
37312,5,,Premium SMS,Unknown,N
37313,5,,Premium SMS,Amani TV- Jawwal,N
37314,5,,Premium SMS,Adwa2 TV,N
37315,5,,Premium SMS,Al Jazeera voting issues,N
37316,5,,Premium SMS,Smash TV Chat and song dedication,N
37317,5,,Premium SMS,SMS 2 TV-Al sakafeya TV,N
37318,5,,Premium SMS,SMS 2 TV-Al osra w al tefel TV,N
